Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Parent (Les) VII – MN,Attraction Images Productions II inc.,2014 - 2015,Rich Interactive Media,$81;107.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Parent (Les) VII – MN,Attraction Images Productions II inc.,2014 - 2015,Rich Interactive Media,$149;138.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Yukon Gold III – DM,Klondike Digital (3) Productions Inc.,2014 - 2015,Video,$58;997.00,,Production,Documentary,Streaming,N/A,British Columbia,Convergent Digital Media Incentive,Contracted,English,N/A
En direct de l’univers VI – MN,Attraction Images Productions II inc.,2014 - 2015,Rich Interactive Media,$35;226.00,N/A,Production,Variety & Performing Arts,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
En direct de l’univers VI – MN,Attraction Images Productions II inc.,2014 - 2015,Rich Interactive Media,$64;774.00,,Production,Variety & Performing Arts,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Viking Secrets III – DM,Take 5 Productions Inc.,2014 - 2015,Video,$70;796.00,,Production,Drama,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Au secours de Béatrice II – MN,Attraction Images Productions inc.,2014 - 2015,Rich Interactive Media,$182;338.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
If Mountains Could Speak IV,Mark Media Film and Video Corp.,2014 - 2015,N/A,$73;500.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Miaomiao IV (1-4),Mark Media Film and Video Corp.,2014 - 2015,N/A,$166;600.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Shekinah II,Shekinah 2 Production Inc.,2014 - 2015,N/A,$269;300.00,N/A,Production,Documentary,N/A,N/A,Quebec,English POV,Contracted,English,N/A
Who The Bleep Are You?,2435325 Ontario Inc.,2014 - 2015,N/A,$100;048.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Am I A Boy or Girl,Stornoway Communications Productions Inc.,2014 - 2015,N/A,$95;123.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Storm,Red Cedar Films Inc.,2014 - 2015,N/A,$44;725.00,N/A,Development,Drama,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
En direct de l’univers VI (125-152),Attraction Images Productions II inc.,2014 - 2015,N/A,$583;859.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
League of Exotique Dancers Interactive: The Grand Stage,2432333 Ontario Inc.,2014 - 2015,Rich Interactive Media,$40;464.00,N/A,Production,Documentary,Application,N/A,Ontario,English POV,Contracted,English,N/A
Saving Hope III (32-49),Hope Zee Three Inc.,2014 - 2015,N/A,$9;225;000.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Camp X I (1-8),Camp X Productions Limited,2014 - 2015,N/A,$1;828;737.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Language of Cool (The),2374453 Ontario Inc.,2014 - 2015,N/A,$61;250.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Qui êtes-vous? III (7-10),Zone3 - A Média inc.,2014 - 2015,N/A,$300;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Rez Cops I (1-6),Drama Camp Productions Inc.,2014 - 2015,N/A,$15;000.00,N/A,Development,Drama,N/A,N/A,British Columbia,Aboriginal,Contracted,Aboriginal,N/A
Infoman XV (369-400),Zone3-V inc.,2014 - 2015,N/A,$118;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
My Job Rocks I (1-6),My Job Rocks Inc.,2014 - 2015,N/A,$50;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Degrassi XIV – DM,Epitome Screen Productions Inc.,2014 - 2015,Rich Interactive Media,$16;003.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Degrassi XIV – DM,Epitome Screen Productions Inc.,2014 - 2015,Rich Interactive Media,$58;997.00,,Production,Children's & Youth,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Parent (Les) VII (125-145),Attraction Images Productions II inc.,2014 - 2015,N/A,$1;802;798.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Au secours de Béatrice II (13-36),Attraction Images Productions inc.,2014 - 2015,N/A,$3;800;000.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
5 Prochains (Les) II (9-16),Les Productions Avanti Ciné Vidéo Inc.,2014 - 2015,N/A,$330;500.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Don’t Die There,2374453 Ontario Inc.,2016 - 2017,N/A,$24;500.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Travel Safe Not Sorry,2374453 Ontario Inc.,2014 - 2015,N/A,$61;250.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
The Big Feed I (1-13),Blue Ant HDTV Productions Inc.,2014 - 2015,N/A,$100;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Next Step (The) III (1-31),Temple Dance III Productions Limited,2014 - 2015,N/A,$2;586;513.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
League of Exotique Dancers,2432333 Ontario Inc.,2014 - 2015,N/A,$300;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,English POV,Contracted,English,N/A
League of Exotique Dancers,2432333 Ontario Inc.,2014 - 2015,N/A,$25;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Pacific Spirit (Pilot),Omni Film Drama Development.Ltd.,2014 - 2015,N/A,$58;515.00,N/A,Development,Drama,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Nom de Code I (1-3),9248-3650 Québec Inc.,2014 - 2015,N/A,$62;607.00,N/A,Development,Drama,N/A,N/A,Montreal,Development Envelopes,Contracted,French,N/A
Roboticize Me,CBC,2014 - 2015,N/A,$6;500.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Appendices (Les) VII (73-86),Productions KOTV VI (PMB) inc.,2014 - 2015,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Too Much Information I (1-39),1909614 Ontario Inc.,2014 - 2015,N/A,$298;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
coles pas comme les autres (Des) – Pilote,9184-1031 Québec inc.,2014 - 2015,N/A,$8;690.00,N/A,Versioning,Documentary,N/A,N/A,Quebec,Versioning,Contracted,French,N/A
Time Machine – DM,Kingulliit Productions Inc.,2014 - 2015,Rich Interactive Media,$125;000.00,N/A,Production,Children's & Youth,Downloadable,N/A,Nunavut,Aboriginal,Contracted,Aboriginal,N/A
Saving the Mustang,Filmoption International inc.,2014 - 2015,N/A,$4;928.00,N/A,Versioning,Documentary,N/A,N/A,Quebec,Versioning,Contracted,English,N/A
Stories of our Elders (The) I (1-14),Kingulliit Productions Inc.,2014 - 2015,N/A,$362;984.00,N/A,Production,Children's & Youth,N/A,N/A,Nunavut,Aboriginal,Contracted,Aboriginal,N/A
Stories of our Elders (The) I (1-14),Kingulliit Productions Inc.,2014 - 2015,N/A,$91;800.00,,Production,Children's & Youth,N/A,N/A,Nunavut,Northern Production Incentive,Contracted,Aboriginal,N/A
All My Aboriginal Relations – DM,All Our Relations II Productions Inc.,2014 - 2015,Rich Interactive Media,$56;250.00,N/A,Production,Documentary,Application,N/A,British Columbia,Aboriginal,Contracted,Aboriginal,N/A
All Our Relations II (201-207),All Our Relations II Productions Inc.,2014 - 2015,N/A,$378;000.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Aboriginal,Contracted,Aboriginal,N/A
Malinaqputiit – The Searchers,Kingulliit Productions Inc.,2014 - 2015,N/A,$400;000.00,N/A,Production,Drama,N/A,N/A,Nunavut,Aboriginal,Contracted,Aboriginal,N/A
Malinaqputiit – The Searchers,Kingulliit Productions Inc.,2014 - 2015,N/A,$200;000.00,,Production,Drama,N/A,N/A,Nunavut,Northern Production Incentive,Contracted,Aboriginal,N/A
Louis Says-Learn & Play II,Louis Says Productions Inc.,2014 - 2015,Rich Interactive Media,$96;638.00,N/A,Production,Children's & Youth,Application,N/A,Saskatchewan,Aboriginal,Contracted,Aboriginal,N/A
Louis Says II (9-16),Louis Says Productions Inc.,2014 - 2015,N/A,$266;404.00,N/A,Production,Children's & Youth,N/A,N/A,Saskatchewan,Aboriginal,Contracted,Aboriginal,N/A
Louis Says II (9-16),Louis Says Productions Inc.,2014 - 2015,N/A,$25;262.00,N/A,Production,Children's & Youth,N/A,N/A,Saskatchewan,Performance Envelopes,Contracted,Aboriginal,N/A
Louis Says II (9-16),Louis Says Productions Inc.,2014 - 2015,N/A,$55;000.00,N/A,Production,Children's & Youth,N/A,N/A,Saskatchewan,English Regional Production Bonus,Contracted,Aboriginal,N/A
Princesses (The) I – DM (Website),Productions Cayenne Inc.,2014 - 2015,Rich Interactive Media,$75;000.00,N/A,Production,Documentary,Website,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Konnected.tv I – DM,PVP-DRP inc,2014 - 2015,Social Media,$95;250.00,N/A,Production,Documentary,Website,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Konnected.tv I (1-13),PVP-DRP inc,2014 - 2015,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Urban Native Girl I – DM,Wabunganung Interactive Inc.,2014 - 2015,Rich Interactive Media,$73;365.00,N/A,Production,Documentary,Website,N/A,Ontario,Aboriginal,Contracted,Aboriginal,N/A
Urban Native Girl I (1-13),WFCL UNG-One Doc Inc.,2014 - 2015,N/A,$396;870.00,N/A,Production,Documentary,N/A,N/A,Ontario,Aboriginal,Contracted,Aboriginal,N/A
Mohawk Ironworkers I – DM,Mushkeg Media Inc.,2014 - 2015,Rich Interactive Media,$82;152.00,N/A,Production,Documentary,Website,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Mohawk Ironworkers I – DM,Mushkeg Media Inc.,2014 - 2015,Rich Interactive Media,$15;746.00,,Production,Documentary,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,Aboriginal,N/A
Mohawk Ironworkers I (1-13),Mushkeg Productions Inc.,2014 - 2015,N/A,$380;125.00,N/A,Production,Documentary,N/A,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Rythme (Le) II – MN,Trinôme Adario inc,2014 - 2015,Rich Interactive Media,$37;500.00,N/A,Production,Children's & Youth,Website,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Rythme (Le) II (14-26),Trinôme Adario inc,2014 - 2015,N/A,$400;000.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Rythme (Le) II (14-26),Trinôme Adario inc,2014 - 2015,N/A,$95;477.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,Aboriginal,N/A
Carry the Fire – DM,6520899 Manitoba Inc.,2014 - 2015,Rich Interactive Media,$11;250.00,N/A,Production,Documentary,Website,N/A,Manitoba,Aboriginal,Contracted,Aboriginal,N/A
Working it out Together III – Website,Rezolution Pictures International Inc.,2014 - 2015,Rich Interactive Media,$15;000.00,N/A,Production,Documentary,Website,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Working it out Together III (21-33),Rezolution Pictures Inc.,2014 - 2015,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Working it out Together III (21-33),Rezolution Pictures Inc.,2014 - 2015,N/A,$160;251.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,Aboriginal,N/A
Princesses (The) I (1-13),Productions Cayenne Inc.,2014 - 2015,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Face the Music; Web 2.0,Kwiiga Pictures Inc.,2014 - 2015,Rich Interactive Media,$48;195.00,N/A,Production,Documentary,Website,N/A,British Columbia,Aboriginal,Contracted,Aboriginal,N/A
Playing with Fire II – DM,8889139 Canada Inc.,2014 - 2015,Rich Interactive Media,$26;325.00,N/A,Production,Documentary,Website,N/A,Ontario,Aboriginal,Contracted,Aboriginal,N/A
Playing with Fire II (14-26),8889139 Canada Inc.,2014 - 2015,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Aboriginal,Contracted,Aboriginal,N/A
Playing with Fire II (14-26),8889139 Canada Inc.,2014 - 2015,N/A,$97;120.00,N/A,Production,Documentary,N/A,N/A,Ontario,English Regional Production Bonus,Contracted,Aboriginal,N/A
underEXPOSED III – DM,Airbear Media Inc.,2014 - 2015,Rich Interactive Media,$60;000.00,N/A,Production,Children's & Youth,Application,N/A,Alberta,Aboriginal,Contracted,Aboriginal,N/A
ICI Laflaque XI (285-317),Productions Vox Populi 1 Inc.,2014 - 2015,N/A,$710;883.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Hit The Ice IV – DM,4412826 Canada inc. (faisant affaire sous Nish Télévision),2014 - 2015,Rich Interactive Media,$45;000.00,N/A,Production,Children's & Youth,Website,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Hit The Ice IV (40-52),4412826 Canada inc. (faisant affaire sous Nish Télévision),2014 - 2015,N/A,$400;000.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Aboriginal,Contracted,Aboriginal,N/A
Hit The Ice IV (40-52),4412826 Canada inc. (faisant affaire sous Nish Télévision),2014 - 2015,N/A,$299;437.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Performance Envelopes,Contracted,Aboriginal,N/A
Hit The Ice IV (40-52),4412826 Canada inc. (faisant affaire sous Nish Télévision),2014 - 2015,N/A,$38;908.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Anglophone Minority Incentive,Contracted,Aboriginal,N/A
Face the Music I (1-6),Kwiiga Pictures Inc.,2014 - 2015,N/A,$358;374.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Aboriginal,Contracted,Aboriginal,N/A
underEXPOSED III (301-313),Airbear Media Inc.,2014 - 2015,N/A,$400;000.00,N/A,Production,Children's & Youth,N/A,N/A,Alberta,Aboriginal,Contracted,Aboriginal,N/A
underEXPOSED III (301-313),Airbear Media Inc.,2014 - 2015,N/A,$128;407.00,N/A,Production,Children's & Youth,N/A,N/A,Alberta,Performance Envelopes,Contracted,Aboriginal,N/A
underEXPOSED III (301-313),Airbear Media Inc.,2014 - 2015,N/A,$100;000.00,N/A,Production,Children's & Youth,N/A,N/A,Alberta,English Regional Production Bonus,Contracted,Aboriginal,N/A
Carry The Fire (AKA Mechif Journey (A)),6520899 Manitoba Inc.,2014 - 2015,N/A,$108;751.00,N/A,Production,Documentary,N/A,N/A,Manitoba,Aboriginal,Contracted,Aboriginal,N/A
NoteRythme II (66-130),Productions Tout Écran Inc.,2014 - 2015,N/A,$159;725.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
NoteRythme II (66-130),Productions Tout Écran Inc.,2014 - 2015,N/A,$100;000.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Quebec French Regional Production Incentive,Contracted,French,N/A
Salmigondis I (1-65),Téléfiction Productions inc.,2014 - 2015,N/A,$750;000.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Salmigondis I (1-65),Téléfiction Productions inc.,2014 - 2015,N/A,$711;289.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
19-2 III (21-30) (v.f.),Productions 19-2 Inc.,2014 - 2015,N/A,$3;250;000.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Salmigondis – MN,Téléfiction Productions inc.,2014 - 2015,Game,$7;302.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Salmigondis – MN,Téléfiction Productions inc.,2014 - 2015,Game,$17;040.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Théorie du K.O. (La) – MN,Cinémaginaire Télévision Inc.,2014 - 2015,Social Media,$5;000.00,N/A,Production,Drama,Streaming,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Théorie du K.O. (La) I (1-12),Cinémaginaire Télévision Inc.,2014 - 2015,N/A,$1;784;701.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Giver III (24-33),Sinking Ship (Giver III) Productions Inc.,2014 - 2015,N/A,$296;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Arctic Air III (1-12),Omnifilm Releasing Ltd.,2014 - 2015,N/A,$17;000.00,N/A,Versioning,Drama,N/A,N/A,British Columbia,Versioning,Contracted,English,N/A
Man who Tweeted Earth (The),SRC,2014 - 2015,N/A,$5;598.00,N/A,Versioning,Documentary,N/A,N/A,Quebec,Versioning,Contracted,English,N/A
See No Evil (1001-1006),SNE Productions Inc.,2014 - 2015,N/A,$120;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Plateforme Kilo-Beat,Electrik Box Inc.,2014 - 2015,Rich Interactive Media,$187;575.00,,Marketing,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Orphan Black III (301-310),Orphan Black III Productions Limited,2014 - 2015,N/A,$200;000.00,N/A,Development,Drama,N/A,N/A,Toronto,Development Envelopes,Contracted,English,N/A
Nouvelle adresse II (13-24),Sphère Média 2012 Inc.,2014 - 2015,N/A,$2;902;464.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Wundr Marketing (phase A),Wundr Software Inc.,2014 - 2015,N/A,$350;287.00,,Marketing,N/A,Downloadable,1,British Columbia,Experimental,Contracted,Bilingual,1
Mage’s Path (The),Jeux Borealys Inc.,2014 - 2015,Game,$373;915.00,,Development,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Stagename,Stagename Inc.,2014 - 2015,Social Media,$132;379.00,,Marketing,N/A,Application,1,Ontario,Experimental,Contracted,Bilingual,1
Liquid Cinema,DEEP Inc.,2014 - 2015,N/A,$291;000.00,,Development,N/A,Application,1,Ontario,Experimental,Contracted,English,1
Maestros of the Anthymn,String Theory Entertainment Inc.,2014 - 2015,Game,$198;900.00,,Development,N/A,Downloadable,1,British Columbia,Experimental,Contracted,English,1
brainCloud and Foundation Applications,bitHeads Inc.,2014 - 2015,Rich Interactive Media,$343;947.00,,Marketing,N/A,Application,1,Ontario,Experimental,Contracted,Bilingual,1
Storycube,Animation Squeeze Studio Inc.,2014 - 2015,N/A,$104;967.00,,Development,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Holo Impression; Holo Immersion; Holo Colossal,Beam Me Up Games Inc.,2014 - 2015,N/A,$150;000.00,,Development,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Drag’n fly – Plateforme de création d’applications immersives mobiles,Les Productions Version 10 inc.,2014 - 2015,N/A,$361;383.00,,Development,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Mafia Casino Mobile Application – Commercialization,8967741 Canada Inc.,2014 - 2015,Game,$144;045.00,,Marketing,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Boximals Kuna Forest Marketing Funding,Boximals Studios Inc.,2014 - 2015,Game,$134;760.00,,Marketing,N/A,Downloadable,1,British Columbia,Experimental,Contracted,Bilingual,1
Heap C3MS Version 2,8998167 Canada Inc.,2014 - 2015,N/A,$337;500.00,,Marketing,N/A,Website,1,Quebec,Experimental,Contracted,Bilingual,1
Mobs,Frima Studio Inc.,2014 - 2015,Game,$75;455.00,,Marketing,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Creative Quest,Frima Studio Inc.,2014 - 2015,Game,$213;046.00,,Development,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Tiny Plastic Men III – RainbowBots (Mobile Game),Gottfried Bros. Entertainment III Inc.,2014 - 2015,Game,$233;333.00,N/A,Production,Drama,Downloadable,N/A,Alberta,Performance Envelopes,Contracted,English,N/A
Moon Hunters,Kitfox Games Inc.,2014 - 2015,Game,$130;659.00,,Development,N/A,Downloadable,1,Quebec,Experimental,Contracted,Bilingual,1
Interact 220,Turbine Inc.,2014 - 2015,N/A,$374;895.00,,Development,N/A,Application,1,Quebec,Experimental,Contracted,French,1
ReLOAD,Pixel YUL Inc.,2014 - 2015,Game,$400;000.00,,Development,N/A,Downloadable,1,Quebec,Experimental,Contracted,Bilingual,1
MoJo HTML5 Engine,Fidel (id) Innovation + Design Inc.,2014 - 2015,N/A,$134;700.00,,Development,N/A,Downloadable,1,Quebec,Experimental,Contracted,English,1
Tiny Plastic Men III – DM,Gottfried Bros. Entertainment III Inc.,2014 - 2015,Video,$500;000.00,N/A,Production,Drama,Website,N/A,Alberta,Performance Envelopes,Contracted,English,N/A
Tiny Plastic Men III – DM,Gottfried Bros. Entertainment III Inc.,2014 - 2015,Video,$157;325.00,,Production,Drama,Website,N/A,Alberta,Convergent Digital Media Incentive,Contracted,English,N/A
Starlite – Marketing,Project Whitecard Studios Inc.,2014 - 2015,Game,$250;000.00,,Marketing,N/A,Downloadable,1,Manitoba,Experimental,Contracted,English,1
Super Quest,DrinkBox Studios Inc.,2014 - 2015,Game,$175;000.00,,Development,N/A,Application,1,Ontario,Experimental,Contracted,Bilingual,1
Open Orion,Spearhead Games,2014 - 2015,Game,$400;000.00,,Development,N/A,Downloadable,1,Quebec,Experimental,Contracted,Bilingual,1
Clandestine: Anomaly,ZenFri Inc.,2014 - 2015,Game,$41;900.00,,Marketing,N/A,Application,1,Manitoba,Experimental,Contracted,Bilingual,1
Missing,Zandel Média Inc.,2014 - 2015,Game,$119;719.00,,Marketing,N/A,Application,1,Quebec,Experimental,Contracted,Bilingual,1
Card Saga,gopokyo Inc.,2014 - 2015,Game,$172;517.00,,Development,N/A,Website,1,Nova Scotia,Experimental,Contracted,English,1
