Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Infoman XV – MN,Zone3-V inc.,2014 - 2015,Rich Interactive Media,$77;227.00,,Production,Variety & Performing Arts,Website,1,Quebec,Convergent Digital Media Incentive,Contracted,French,1
Qui êtes-vous? III – MN,Zone3 - A Média inc.,2014 - 2015,Rich Interactive Media,$31;794.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Qui êtes-vous? III – MN,Zone3 - A Média inc.,2014 - 2015,Rich Interactive Media,$58;463.00,,Production,Documentary,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
VRAK attak – MN,Zone3-IV Inc.,2014 - 2015,Rich Interactive Media,$83;854.00,,Production,Children's & Youth,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
VRAK attak I (1-17),Zone3-IV Inc.,2014 - 2015,N/A,$271;967.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Human Town,Humantown Productions Inc.,2015 - 2016,N/A,$199;054.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
ComedyCoup,The Coup Company Ltd.,2014 - 2015,Rich Interactive Media,$116;599.00,,Production,Drama,Website,N/A,British Columbia,Convergent Digital Media Incentive,Contracted,English,N/A
Little Charmers – Web,Spin Master Charming Productions Inc.,2014 - 2015,Game,$314;650.00,,Production,Children's & Youth,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Where Cool Came From II,2374444 Ontario Inc.,2014 - 2015,Video,$130;210.00,N/A,Production,Documentary,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Where Cool Came From II,2374444 Ontario Inc.,2014 - 2015,Video,$292;778.00,,Production,Documentary,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Inside Job,RVK Productions Inc.,2014 - 2015,Video,$117;858.00,,Production,Children's & Youth,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Transgender Project (The),Stornoway Communications General Partner Inc.,2014 - 2015,Video,$64;984.00,N/A,Production,Documentary,Streaming,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Transgender Project (The),Stornoway Communications General Partner Inc.,2014 - 2015,Video,$279;640.00,,Production,Documentary,Streaming,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Strange Empire – DM,CBC,2014 - 2015,Rich Interactive Media,$110;000.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
If Mountains Could Speak IV – DM (Shuyan the Kung Fu Princess – Interactive Episode),Mark Interactive Corp. (DO NOT USE - DEFUNCT),2014 - 2015,Game,$500;000.00,N/A,Production,Drama,Application,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
If Mountains Could Speak IV – DM (Shuyan the Kung Fu Princess – Interactive Episode),Mark Interactive Corp. (DO NOT USE - DEFUNCT),2014 - 2015,Game,$157;325.00,,Production,Drama,Application,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Canada’s Global Kitchen,8896780 Canada Inc.,2014 - 2015,Video,$49;000.00,N/A,Production,Documentary,Website,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
Canada’s Global Kitchen,8896780 Canada Inc.,2014 - 2015,Video,$157;325.00,,Production,Documentary,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
22 Minutes XXII – DM (“The Punchline”),CBC,2014 - 2015,Video,$113;160.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
22 Minutes XXII – DM (“The Punchline”),CBC,2014 - 2015,Video,$386;839.00,,Production,Drama,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Miaomiao IV – DM I (Around the World with Miaomiao: Interactive Watch and Play App),Mark Media Corp.,2014 - 2015,Rich Interactive Media,$413;350.00,N/A,Production,Children's & Youth,Application,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Miaomiao IV – DM I (Around the World with Miaomiao: Interactive Watch and Play App),Mark Media Corp.,2014 - 2015,Rich Interactive Media,$314;650.00,,Production,Children's & Youth,Application,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Love Nature,Blue Ant Media Productions Inc.,2014 - 2015,Rich Interactive Media,$235;988.00,,Production,Documentary,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Fantasy Sports Multi-platform Apps,Fantasy Sports Media Group Inc.,2014 - 2015,Rich Interactive Media,$29;372.00,N/A,Production,Documentary,Application,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Fantasy Sports Multi-platform Apps,Fantasy Sports Media Group Inc.,2014 - 2015,Rich Interactive Media,$272;968.00,,Production,Documentary,Application,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Univers Laflaque (L’) XI – MN,Productions Vox Populi 1 Inc.,2014 - 2015,Rich Interactive Media,$28;157.00,N/A,Production,Variety & Performing Arts,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Univers Laflaque (L’) XI – MN,Productions Vox Populi 1 Inc.,2014 - 2015,Rich Interactive Media,$51;774.00,,Production,Variety & Performing Arts,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Lance et Compte : La Finale – MN,9190-6024 Québec Inc.,2014 - 2015,Rich Interactive Media,$92;066.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Vrak la vie VI – MN,Productions GFP (IV) Inc.,2014 - 2015,Rich Interactive Media,$53;114.00,,Production,Children's & Youth,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
30 vies V – MN,Aetios Web Inc.,2014 - 2015,Rich Interactive Media,$81;371.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
30 vies V – MN,Aetios Web Inc.,2014 - 2015,Rich Interactive Media,$149;622.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Cold Water Cowboys II Interactive,Cold Water Digital (2) Productions Inc.,2014 - 2015,Game,$25;000.00,N/A,Production,Documentary,Website,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Cold Water Cowboys II Interactive,Cold Water Digital (2) Productions Inc.,2014 - 2015,Game,$94;395.00,,Production,Documentary,Website,N/A,British Columbia,Convergent Digital Media Incentive,Contracted,English,N/A
Rêve de Champlain (Le) – Site web et jeu,8766118 Canada Inc,2014 - 2015,Rich Interactive Media,$323;868.00,,Production,Documentary,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,French,N/A
